obs_cancelamento;data_cancelamento
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS DE JULHO E AGOSTO;22/01/2024
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA PARA MOSSORÓ EM LOCAL NÃO CABEADO. SEM PREVISÃO DE RETORNO PARA E ENDEREÇO DE INSTALAÇÃO, INFORMOU QUE NÃO TEM NINGUÉM PRA QUEM POSSA TRANSFERIR O CONTRATO. CIENTE DO FINANCEIRO DO CONTRATO, E DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;15/12/2021
EQUIPAMENTO REMOVIDO. ↵↵CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE ESTÁ ENTREGANDO O PONTO E O SERVIÇO VAI FICAR SEM USO. OFERECIDO ATIVAÇÃO EM OUTRO ENDEREÇO, TROCA DE TITULARIDADE, MAS A MESMA OPTOU PELO CANCELAMENTO. FOI INFORMADO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.;13/04/2023
CLIENTE DESEJA CANCELAMENTO DO CONTRATO POIS MUDOU DE ENDEREÇO PARA CASA DA IRMÃ POIS ESTÁ COM PROBLEMAS DE SAÚDE, NÃO ACEITOU DEMAIS OFERTAS, CIENTE DA MULTA.;13/08/2024
MOTIVO: DESCONTO 50% ACABOU, CLIENTE NÃO DESEJA MAIS O SERVIÇO;02/07/2024
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE JANEIRO E FEVEREIRO.↵EQUIPAMENTO NÂO RECOLHIDO;07/05/2024
Importado Cancelado do SGP;30/05/2023
EQUIPAMENTO REMOVIDO.;25/11/2022
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, INFORMANDO QUE ESSE PONTO FECHOU, POIS ERA COMERCIAL. TENTATIVAS DE CONTATO SEM SUCESSO.  BOLETOS ME SISTEMA P/ PAGAMENTO. PRAZO DE ATÉ 3 MESES, PARA A REATIVAÇÃO SEM CUSTO, SENDO PARA O MESMO ENDEREÇO.↵GERADO OS PARA A REMOÇÃO DE EQUIPAMENTO.;23/10/2021
CLIENTE HAVIA SOLICITADO SUSPENSÃO TEMPORÁRIA DO CONTRATO POIS NÃO ESTAVA USANDO DEVIDO A UMA VIAGEM, O CONTRATO FOI REATIVO AUTOMÁTICAMENTE PELO SISTEMA PORÉM O MESMO NÃO TINHA CIÊNCIA DA REATIVAÇÃO, VISTO EM SISTEMA QUE NÃO HOUVE UTILIZAÇÃO NÃO SERÁ COBRADA DEMAIS MENSAILIDADES, EQUIPAMENTO REMOVIDO.;02/04/2024
Importado Cancelado do SGP;22/11/2022
CANCELADO POR INADIMPLÊNCIA - REFERENTE AO MÊS DE JUN E JUL 2023;14/12/2023
Importado Cancelado do SGP;10/10/2022
CANCELADO POR INADIMPLÊNCIA;12/02/2022
CANCELADO POR INADIMPLÊNCIA;10/03/2022
Importado Cancelado do SGP;19/09/2022
Importado Cancelado do SGP;08/10/2022
CANCELADO POR INADIMPLÊNCIA;07/01/2022
CADASTRO NÃO ATIVO.;12/11/2022
Importado Cancelado do SGP;30/11/2022
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO,OFERECIDO ATIVAÇÃO NO SEU ENDEREÇO ATUAL, SUSPENSÃO TEMPORARIA, TROCA DE TITULARIDADE, MAS A MESMA OPTOU PELO CANCELAMENTO. FICOU CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADA APÓS REMOÇÃO DO EQUIPAMENTO.↵EQUIPAMENTO REMOVIDO.;05/06/2023
Importado Cancelado do SGP;19/09/2022
"ENTRAMOS EM CONTATO COM O CLIENTE, O MESMO INFORMOU QUE O PAI ERA QUEM UTILIZADA A INTERNET NESTE PONTO E SE MUDOU PARA O ABRIGO DO IDOSO, E PRECISA ENTREGAR A CASA QUE ERA ALUGADA. FOI VERIFICADO SE O CLIENTE POSSUI OUTRO PROVEDOR NA SUA ATUAL RESIDENCIA E ESTE INFORMOU QUE SIM, MAS É NO NOME DO SOGRO E NÃO SOUBE INFORMAR VALORES OU VELOCIDADE PARA UMA CONTRAPROPOSTA. DESEJOU SEGUIR COM O CANCELAMENTO;";13/11/2023
CLIENTE NÃO RETIDA. SOLICITOU CANCELAMENTO VIA PLATAFORMA POR MUDANÇA DE CIDADE (NATAL/RN). OFERTADA E NÃO ACEITA MUDANÇA DE TITULARIDADE/SUSPENSÃO TEMPORÁRIA. CIENTE DO FINACEIRO E DA REMOÇÃO DOS EQUIPAMENTOS.;02/08/2024
PONTO CANCELADO. A CLIENTE NÃO UTILIZA MAIS O SERVIÇO POIS ERA PARA UM PONTO DE COMÉRCIO E O MESMO FOI FECHADO. CIENTE DO FINANCEIRO E DA PENDÊNCIA DE REMOÇÃO DO EQUIPAMENTO.;06/02/2024
CADASTRO NÃO ATIVO;29/10/2021
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DOS CONTRATOS POIS ESTÁ INSATISFEITO COM ATENDIMENTO DEVIDO A TER SOLICITADO LIBERAÇÃO DO SINAL APÓS O EXPEDIENTE, NÃO ACEITOU OFERTAS, CIENTE DO FINANCEIRO.;05/06/2024
FINALIZANDO O PROCESSO DE CANCELAMENTO.;28/08/2023
EQUIPAMENTO REMOVIDO. ↵↵CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO. REALIZADO CONTATO, OFERECIDO ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA. CLIENTE INFORMA QUE ESTÁ INDO MORAR EM UM POUSADA. OFEREDO TROCA DE TITULARIDADE, MAS A MESMA OPTOU PELO CANCELAMENTO. ENVIADO BOLETOS PARA PAGAMENTO, INFORMADO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DE EQUIPAMENTO.;24/03/2023
Importado Cancelado do SGP;09/01/2023
CANCELAMENTO POR INADIMPLÊNCIA;04/07/2022
TITULARIDADE INDO PARA: 256705 - HEYSON SILVA DO CARMO (NOVO TITULAR PAGOU OS BOLETOS EM ATRASO).;24/05/2024
Importado Cancelado do SGP;04/05/2023
Importado Cancelado do SGP;03/06/2023
CADASTRO NÃO ATIVO;18/09/2021
Importado Cancelado do SGP;29/05/2023
EQUIPAMENTO REMOVIDO.;23/09/2022
Importado Cancelado do SGP;28/02/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE NÃO MORA MAIS NO ENDEREÇO E A CASA ESTÁ FECHADA. OFERECIDO ATIVAÇÃO DO SERVIÇO EM OUTRO ENDEREÇO E ALTERAÇÃO NA TITULARIDADE. MAS A CLIENTE OPTOU PELO CANCELAMENTO. CIENTE DO FINANCEIRO DO CONTRATO E DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;03/01/2022
Cliente cancelado, pois pediu desligamento informando mudança para outra residência que já tem telecab. Foi proposta a transferência de titularidade, mas sem interesse por parte do cliente. ↵Ciente do financeiro e da pendência de remoção do equipamento.;06/11/2023
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA. TENTAVAS  DE CONTATO SEM SUCESSO, REALZIADO CANCELAMENTO DO CONTRATO. PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;20/12/2021
Importado Cancelado do SGP;20/11/2023
Importado Cancelado do SGP;23/01/2023
CANCELAMENTO POR INADIMPLÊNCIA;25/03/2022
Importado Cancelado do SGP;30/01/2023
NÃO ATIVO.;15/10/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE DEZEMBRO E JANEIRO.↵REMOVIDO ONU + ROTEADOR + FONTES;16/04/2024
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE SE MUDOU E NO NOVO ENDEREÇO JÁ TEM SERVIÇO INSTALADO. FOI OFEREDICO ALTERAÇÃO NA TITULARIDADE, CLIENTE INFORMA QUE NÃO TEM PRA QUEM TRANSFERIR. FICOU CIENTE DO FINANCEIRO E DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;29/03/2022
Importado Cancelado do SGP;13/02/2023
CANCELAMENTO POR INADIMPLÊNCIA;28/04/2022
Importado Cancelado do SGP;25/09/2023
INVIABILIDADE TÉCNICA - CADASTRO NÃO ATIVO;18/09/2021
CLIENTE VIA PLATAFORMA SOLCITA CANCELAMENTO POIS SE DIZ INSATISFEITA, OFERTADO VISITA TÉCNICA PORÉM A MESMA RECUSA E REAFIRMOU CANCELAMENTO.;03/01/2024
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE MARÇO E ABRIL.;
↵REMOVIDO ONU + FONTE ;19/08/2024
EQUIPAMENTO REMOVIDO.;26/09/2022
Importado Cancelado do SGP;18/11/2022
Importado Cancelado do SGP;25/07/2022
Importado Cancelado do SGP;01/09/2022
O cliente solicitou cancelamento de um dos pontos, informando que queria mudar o roteador de endereço mas foi cobrada uma taxa para tal. Foi oferecido a isenção da taxa, mas sem interesse por parte do cliente. Ciente do financeiro, do prazo de reativação no mesmo endereço em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento.↵EQUIPAMENTO REMOVIDO;18/05/2023
CADASTRO NÃO ATIVO.;25/10/2022
Importado Cancelado do SGP;22/11/2022
EQUIPAMENTO REMOVIDO.;22/06/2022
EQUIPAMENTO REMOVIDO.;02/09/2022
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, VIA PLATAFORMA - INFORMANDO MUDANÇA E INSATISFAÇÃO COM A CONEXÃO. CONTATEI  A CLIENTE, FOI OFERECIDO REPARO COM VISITA TÉCNICA, TRANSFERÊNCIA, ALTERAÇÃO DE TITULARIDADE. MAS, A CLIENTE OPTA SOMENTE PELO CANCELAMENTO -ALEGANDO ESTÁ COM OUTRO PROVEDOR QUE FORNCE PLANO DE TV+INTERNET POR R$60,00. CIENTE DO PRAZO DE ATÉ 3 MESES.↵CIENTE DA REMOÇÃO DE EQUIPAMENTO.;20/09/2021
CLIENTE VIA ESCRITÓRIO DESEJA CANCELAMENTO DO SERVIÇO POIS MUDOU DE ENDEREÇO E NÃO PRECISARÁ MAIS DO CONTRATO, NÃO ACEITOU OFERTAS.;19/06/2024
CADASTRO NÃO ATIVO;20/09/2021
Importado Cancelado do SGP;21/11/2022
CADASTRO NÃO ATIVO.;05/11/2022
Importado Cancelado do SGP;19/12/2022
Importado Cancelado do SGP;13/06/2022
CANCELAMENTO POR INADIMPLÊNCIA;26/07/2022
Importado Cancelado do SGP;26/09/2023
CANCELAMENTO POR INADIMPLÊNCIA;08/11/2022
CLIENTE CANCELADA. DISSE QUE FICA FORA DE CASA POR BASTANTE TEMPO E NÃO ESTÁ UTILIZANDO BEM O SERVIÇO. FOI PROPOSTO O CANCELAMENTO SOMENTE DO PLANO DE TV E APÓS A RECUSA, FOI PROPOSTO UM DESCONTO EM 3 MENSALIDADES, MAS SEM INTERESSE. NÃO TEVE INTERESSE EM TRANSFERIR A TITULARIDADE PARA NINGUÉM. ↵FINANCEIRO QUITADO, CIENTE DA PENDÊNCIA DE REMOÇÃO DOS EQUIPAMENTOS.;25/01/2024
Importado Cancelado do SGP;22/08/2022
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ENDEREÇO, FOI INFORMANDO QUE NO NOVO ENDEREÇO DA CLIENTE O CTO ESTÁ CHEI, INVIABILIZANDO O ATENDIMENTO. TENTATIVAS DE CONTATO SEM SUCESSO. REALIZADO CANCELAMENTO DO CONTRATO. PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;05/04/2022
EQUIPAMENTO REMOVIDO.;28/10/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS SETEMBRO E OUTUBRO;11/04/2024
Importado Cancelado do SGP;25/07/2022
CLIENTE MANDOU SUA FUNCIONÁRIA SOLICITAR CANCELAMENTO VIA ESCRITÓRIO, RECUSOU-SE A ENVIAR A FOTO SEGURANDO DOCUMENTO E AMEAÇOU PROCESSO CASO NÃO FOI FINALIZADO, FINALIZADO CANCELAMENTO, NÃO REALIZADAS OFERTAS POIS CLIENTE SE RECUSOU, CIENTE DO PROPORCIONAL.;30/03/2024
CADASTRO NÃO ATIVO.;05/10/2022
CLIENTE SOLICITA CANCELAMENTO ALEGANDO PROBLEMAS FINANCEIROS, OFERTADOS PLANOS E DESCONTOS PORÉM A MESMA NÃO QUIS.;06/12/2023
Importado Cancelado do SGP;12/12/2022
Importado Cancelado do SGP;09/01/2023
Importado Cancelado do SGP;26/09/2022
CANCELADO POR INADIMPLÊNCIA;07/01/2022
CANCELADO POR INADIMPLÊNCIA;20/01/2022
EQUIPAMENTO REMOVIDO.;23/08/2022
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DO CONTRATO POIS MUDOU PARA NATAL, NÃO ACEITOU OFERTAS.;14/08/2024
CLIENTE VIA TELEFONE DESEJA CANCELAMENTO DO CONTRATO POIS CONTRATOU A EMPRESA QUE OFERECE PARQUE AQUATICO GRATUITO, NÃO ACEITOU OFERTAS.;14/08/2024
CLIENTE VIA TELEFONE DESEJA CANCELAMENTO DO CONTRATO POIS MUDOU DE PROVEDOR POIS ELES OFERECEM ENTRADA GRATUITA NO PARK AQUATICO, NÃO ACEITOU OFERTAS.;14/08/2024
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO INSATISFAÇÃO COM O SERVIÇO. REALIZADO CONTATO, OFERECIDO ALTERAÇÃO DE PLANO PRA 500MB MAS OPTOU PELO CANCELAMENTO. FICOU CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CADASTRÓ SERÁ CANCELADO APÓS REMOÇÃO DE EQUIPAMENTO.;11/05/2023
Importado Cancelado do SGP;22/11/2022
Cliente solicitou cancelamento informando mudança de endereço. Foi proposta a reativação do serviço em seu novo endereço, a transferência de titularidade e a suspensão temporária, mas sem interesse por parte da cliente. Preferiu que a remoção do equipamento fosse feita a tarde. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;15/07/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS SETEMBRO E OUTUBRO;15/04/2024
Importado Cancelado do SGP;31/12/2022
CANCELADO POR INADIMPLÊNCIA - REFERENTE AO MÊS DE JUN E JUL 2023;23/12/2023
Importado Cancelado do SGP;29/11/2022
INVIABILIDADE TÉCNICA;04/10/2021
Cliente solicitou cancelamento informando mudança de endereço. Foi proposta a reativação em seu novo endereço, mas a titular informou que a mudança seria para área sem viabilidade (área rural de Afonso Bezerra). Foi proposta também a transferência de titularidade, mas sem interesse por parte da cliente.↵Ciente do financeiro e da pendência de remoção do equipamento.;04/09/2023
Importado Cancelado do SGP;18/09/2023
GERADO EM DUPLICIDADE;20/09/2021
Importado Cancelado do SGP;17/10/2022
CADASTRO INATIVO.;12/02/2022
Importado Cancelado do SGP;29/09/2022
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO, NÃO FOI INFORMADO MOTIVOS. TENTATIVAS DE CONTATO SEM SUCESSO, EQUIPAMENTO REMOVIDO. PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;22/12/2022
Importado Cancelado do SGP;12/09/2023
EQUIPAMENTO REMOVIDO.;23/01/2023
CLIENTE CANCELADA. IRÁ SE MUDAR PARA OUTRO ESTADO, FOI PROPOSTA SUSPENSSÃO TEMPORÁRIA TENDO EM VISTA UM POSSÍVEL RETORNO, MAS FOI RECUSADO. TAMBÉM NÃO TEVE INTERESE EM TRASNFERIR A TITULARIDADE. CIENTE DO FINANCEIRO E DA PENDÊNCIA DE REMOÇÃO DO EQUIPAMENTO.;08/01/2024
MUDANÇA DE TIULAR INDO PARA: CLIENTE ID : 250686↵NOME/RAZÃO SOCIAL : CESAR AUGUSTO DE SOUZA BARBOSA↵CPF/CNPJ: 119.833.434-71;16/12/2023
Importado Cancelado do SGP;31/12/2022
EX ESPOSA DO CLIENTE ENTREGOU OS EQUIPAMENTOS POIS SOLICITOU UYM CONTRATO EM SEU NOME. TELEFONE DO CADASTRO É DA EX ESPOSA E ELA INFORMOU QUE NÃO TEM O CONTATO DO TITULAR. AUTORIZADO POR RENATA O CANCELAMENTO POR ABANDONO.;28/08/2024
EQUIPAMENTO REMOVIDO.;27/02/2023
Cliente solicitou cancelamento informando que não faz uso, mesmo não havendo insatisfação. Foi proposta a suspensão temporária e a transferência de titularidade, a cliente pediu um prazo para perguntar a uma amiga sobre a nova titularidade, mas desistiu da transferência. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;10/08/2023
EQUIPAMENTO REMOVIDO.;21/09/2022
CLIENTE HAVIA SOLICITADO CANCELAMENTO POIS NÃO POSSUI CONDIÇÕES NO MOMENTO, SEM DÉBITOS PENDENTES.;20/05/2024
Importado Cancelado do SGP;22/11/2022
cliente desistiu;23/09/2021
Importado Cancelado do SGP;05/09/2023
Importado Cancelado do SGP;20/11/2023
Cliente solicitou cancelamento informando que necessitava de um plano com telefone fixo e que precisou realizar mudança de endereço. ↵Via ligação, foi proposta a transferência de titularidade, mas sem interesse por parte do cliente. ↵EQUIPAMENTO ENTREGUE EM LOJA;01/08/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE ABRIL E MAIO.↵EQUIPAMENTO NÂO REMOVIDO.;26/08/2024
Importado Cancelado do SGP;03/05/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE JANEIRO E FEVEREIRO.↵REMOVIDO ROTADOR + ONU + KIT BOX + FONTES;06/05/2024
EQUIPAMENTO REMOVIDO.;12/08/2022
CLIENTE DESISTIU DO CANCELAMENTO;01/10/2021
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUE NO PONTO FUNCIONAVA UMA IGREJA, E O PASTOR RESPONSAVEL FOI EMBORA. TENTATIVAS DE CONTATO SEM SUCESSO. REALIZADO CANCELAMENTO DO CADASTRO. PRAZO DE TRÊS MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;04/02/2022
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA PARA O ESTADO DO CEARA. EQUIPAMENTO FOI ENTREGUE EM LOJA PELA MÃR DO TITULAR. TENTATIVAS DE CONTATO SEM SUCESSO. PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;06/12/2022
CLEINTE NÃO RETIDO. SOLICITOU CANCELAMENTO VIA WPP POR MUDANÇA DE ENDEREÇO (NOVO JÁ TEM INTERNET ATIVA). OFERTADA E NÃO ACEITA MUDANÇA DE ENDEREÇO OU TITULARIDADE. CIENTE DO FINANCEIRO E DA REMOÇÃO DOS EQUIPAMENTOS.;02/04/2024
CANCELAMENTO POR INADIMPLÊNCIA;02/04/2022
CLIENTE SOLICITA CANCELAMNETO POIS IRÁ MORAR NO URUGUAI, OFERTADO MUDANÇA DE TITULARIDADE A MESMA PEDIU FINALIZAÇÃO.;31/10/2023
PONTO CANCELADO. FOI PROPOSTA A TRANSFERÊNCIA DE TITULARIDADE, MAS SEM INTERESSE POR PARTE DO CLIENTE, POIS A PESSOA QUE ESTAVA INTERESSADA DESISTIU. CIENTE DO FINANCEIRO E DA PENDÊNCIA DE REMOÇÃO DO EQUIPAMENTO.;26/02/2024
Importado Cancelado do SGP;26/09/2022
Importado Cancelado do SGP;30/11/2022
Importado Cancelado do SGP;26/09/2022
Importado Cancelado do SGP;03/06/2023
CLIENTE SOLICITOU SUSPENSÃO TEMPORARIA DO CONTRATO INFORMANDO QUE A CASA ESTÁ FECHADA. TENTATIVA DE CONTATO SEM SUCESSO. REALIZADO CANCELAMENTO DO CONTRATO. PRAZO DE TRÊS MESES PARA ATIVAÇÃO SEM TAXA DE INSTALAÇÃO NO MESMO ENDEREÇO.;08/02/2022
REMOÇÃO DE KIT ONU+FONTE;28/05/2022
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, INFORMANDO QUE FOI EMBORA. TENTATIVAS DE CONTATO SEM SUCESSO. BOLETOS E MULTA PARA PAGAMENTO. ↵PRAZO DE ATÉ 3 MESES, PARA A REATIVAÇÃO SEM CUSTO, SENDO PARA O MESMO ENDEREÇO.↵GERADO OS PARA A REMOÇÃO DE EQUIPAMENTO.;22/10/2021
CANCELAMENTO POR INADIMPLÊNCIA;28/07/2022
EQUIPAMENTO REMOVIDO.;03/02/2023
CANCELAMENTO POR INADIMPLÊNCIA;20/07/2022
CADASTRO NÃO ATIVO;01/10/2021
CANCELAMENTO POR INADIMPLÊNCIA;27/07/2022
Cliente cancelada, pois pediu desligamento informando que irá se mudar no dia 31/10/2023 e pediu agilidade para fazer o cancelamento.↵Ciente do financeiro e da pendência de remoção do equipamento.;30/10/2023
Importado Cancelado do SGP;12/12/2022
Importado Cancelado do SGP;17/04/2023
Importado Cancelado do SGP;14/11/2022
CADASTRO NÃO ATIVO;04/11/2021
CANCELAMENTO POR INADIMPLÊNCIA;02/04/2022
Importado Cancelado do SGP;15/08/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE DEZEMBRO E JANEIRO.↵EQUIPAMENTO NÂO RECOLHIDO;23/04/2024
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO QUESTÕES FINANCEIRAS. REALIZADO CONTATO, OFERECIDO ALTERAÇÃO NA DATA DE VENCIMENTO E DESCONTO DE 50% EM DUAS MENSALIDADES, MAS A CLIENTE OPTOU PELO CANCELAMENTO. SEM INTERESSE EM TRANSFERIR A TITULARIDADE DO SERVIÇO. CIENTE DO FINANCEIRO, DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO E QUE O CANCELAMENTO SÓ SERÁ FINALIZADO APÓS REMOÇÃO DO EQUIPAMENTO.;06/03/2023
CANCELAMENTO POR INADIMPLÊNCIA;30/06/2022
CLIENTE CANCELADA. IRÁ ENCERRAR AS ATIVIDADES DO COMÉRCIO E FICARÁ SEM USO.↵FOI PROPOSTA A SUSPENSÃO TEMPORÁRIA CASO HOUVESSE PREVISÃO DE REABERTURA DE SUA LOJA, MAS NÃO HÁ.↵FINANCEIRO QUITADO, ESTÁ CIENTE DA PENDÊNCIA DE REMOÇÃO DOS EQUIPAMENTOS.;09/01/2024
Cliente solicitou cancelamento do contrato informando mudança de endereço para outro estado a trabalho. Foi proposta a suspensão temporária e a transferência de titularidade, mas sem interesse por parte do cliente. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;17/07/2023
Importado Cancelado do SGP;08/08/2022
Importado Cancelado do SGP;26/09/2022
Importado Cancelado do SGP;30/01/2023
Importado Cancelado do SGP;22/11/2022
Importado Cancelado do SGP;29/05/2023
Importado Cancelado do SGP;29/11/2022
CLIENTE DESEJA CANCELAMENTO VIA PLATAFORMA POIS CONTRATOU CONCORRENTE, NÃO ACEITOU OFERTAS.;04/04/2024
CLIENTE SOLICITOU CANCELAMANTO DO CONTRATO INFORMANDO MUDANÇA PARA ENDEREÇO ONDE JÁ TEM NOSSOS SERVIÇOS. INFORMOU QUE NO ENDEREÇO DE INSTALAÇÃO NÃO FICOU MORANDO NINGUÉM PARA UTILIZAR O SERVIÇO. CIENTE DO FINANCEIRO DO CONTRATO E DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;10/12/2021
Importado Cancelado do SGP;12/12/2022
CLIENTE DESISTIU DA ATIVAÇÃO.;06/12/2021
CANCELADO POR INADIMPLÊNCIA - SOLICITADO POR RAYLA.;25/04/2022
CANCELAMENTO POR INADIMPLÊNCIA;04/07/2022
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO QUE ESTÁ EM VIAGEM, SEM PREVISÃO DE RETORNO PARA O ENDEREÇO. OFERECIDO MUDANÇA NA TITULARIDADE DO CONTRATO. MAS O CLIENTE OPTOU PELO CANCELAMENTO. CIENTE DO FINANCEIRO DO CONTRATO.;11/02/2022
EQUIPAMENTO REMOVIDO.;19/08/2022
Cliente solicitou cancelamento informando mudança de endereço para Natal, sem previsão de retorno. Foi proposta a transferência de titularidade. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.↵equipamento removido.;31/05/2023
Cliente solicitou cancelamento informando mudança de endereço para Mossoró, foi proposta a mudança de endereço, mas sem interesse por parte da cliente. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.↵EQUIPAMENTO REMOVIDO;29/05/2023
Cliente solicitou cancelamento informando que havia contratado outro plano de 500mb por R4 69,90 com um provedor. Foi proposta a alteração do plano atual para 300mb por R$ 59,90 por um período de 6 meses, após esse período o valor passaria para R$ 89,90 mensais, a transferência de titularidade, mas sem interesse por parte do cliente. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;17/07/2023
CLIENTE DESEJA CANCELAMENTO DO SERVIÇO POIS ESTÁ COM PROBLEMAS DE SAÚDE E ESTÁ SEM DATA PARA RETORNAR A SUA RESIDÊNCIA, OFERTADO SUSPENSÃO TEMPORÁRIA PORÉM NÃO ACEITOU.;20/01/2024
Cliente cancelada, pois pediu desligamento informando mudança para um sítio. No escritório foi proposta a transferência de titularidade, mas sem interesse.↵Ciente do financeiro e da pendência de remoção do equipamento.;06/11/2023
REALIZADO MUDANÇA DE TITULARIDADE;19/09/2022
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, INFORMANDO QUE ESTÁ COM OUTRO PROVEDOR. OFERECIDO REPARO COM VISITA TÉCNICA, TRANSFERÊNCIA, ALTERAÇÃO DE TITULARIDADE. MAS, O CLIENTE OPTA SOMENTE PELO CANCELAMENTO. CIENTE DO PRAZO DE ATÉ 3 MESES. CIENTE DA REMOÇÃO DE EQUIPAMENTO.;09/09/2022
Importado Cancelado do SGP;31/03/2023
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE OUTUBRO E NOVEMBRO.;11/03/2024
